ID,Age,Work_Experience,Family_Size,Segmentation,Gender_Male,Ever_Married_Unknown,Ever_Married_Yes,Graduated_Unknown,Graduated_Yes,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Profession_Unknown,Spending_Score_High,Spending_Score_Low
462809,-1.2846234388296902,-0.48191688770281466,0.7509086667173046,D,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
462643,-0.3271508185366849,-0.48191688770281466,0.0978748475849478,A,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
466315,1.4082683057443872,-0.48191688770281466,-1.2081927906797658,B,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
461735,1.4082683057443872,-0.7754709393757089,-0.555158971547409,B,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
462669,-0.2074667410000592,-0.48191688770281466,2.056976304982018,A,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
461319,0.7500058792929462,-0.7754709393757089,-0.555158971547409,C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
460156,-0.6862030511465619,-0.48191688770281466,0.0978748475849478,C,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
464347,-0.626361012378249,-0.48191688770281466,0.0978748475849478,D,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
465015,1.0492160731345104,-0.7754709393757089,0.0978748475849478,D,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
465176,0.6901638405246333,-0.48191688770281466,0.7509086667173046,C,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
464041,-1.0452552837564388,-0.48191688770281466,0.0978748475849478,A,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
464942,-1.4641495551346286,0.398745267315868,0.7509086667173046,D,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
461230,-1.4641495551346286,-0.7754709393757089,-0.555158971547409,D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
459573,1.5877944220493259,-0.48191688770281466,-1.2081927906797658,A,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
460849,0.8696899568295718,-0.7754709393757089,-1.2081927906797658,B,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
460563,-0.14762470223174637,-0.48191688770281466,-0.555158971547409,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
466865,-0.6862030511465619,1.8665155256803392,1.4039424858496614,D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
461644,-0.7460450899148747,-0.48191688770281466,2.056976304982018,B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
466772,0.8696899568295718,-0.48191688770281466,0.7509086667173046,B,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
464291,2.1263727709641413,-0.7754709393757089,-1.2081927906797658,C,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
466084,0.3311116079147563,2.747177680699022,-1.2081927906797658,A,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
459675,-1.5239915939029416,0.10519121564297379,0.7509086667173046,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
465602,-0.626361012378249,3.040731732371916,-0.555158971547409,A,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
459168,-0.44683489607331056,0.6922993189887623,-0.555158971547409,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
